Name,Rating,Type,Address,Average budget,Maximum capacity
Olympiade,4,Grec,                1082 Berchem-Sainte-Agathe ,30,Not Available
La Botte,4.5,Italien,                1160 Auderghem ,33,Not Available
"Loulou Brussels, Schaerbeek",3.5,Français,                1030 Schaerbeek ,30,Not Available
Shao Shan,3.5,Chinois,                1000 Bruxelles,20,Not Available
La Table Food And Games,3.5,Du Monde,                1000 Bruxelles,15,Not Available
Les Caprices d'Harmony,4.5,Belge,                1030 Schaerbeek ,30,Not Available
Den Talurelekker,3.5,Belge,                1000 Bruxelles,25,Not Available
Olympia (restaurant),4.5,Grec,                1020 Laeken ,30,Not Available
Maison Du Dragon,3,Chinois,                1000 Bruxelles,25,Not Available
Les Frères Romano,4,Français,                1180 Uccle ,40,Not Available
Le Belvédère,4,Belge,                1150 Woluwe-Saint-Pierre ,25,Not Available
Athenes,4,Grec,                1000 Bruxelles,15,Not Available
Le Docteur,4,Français,                1210 Saint-Josse-ten-Noode ,15,Not Available
Haricot Magique - Café Poussette,4.4,Français,                1050 Ixelles ,Not Available,Not Available
Amore & Fantasia,3,Italien,                1160 Auderghem ,18,Not Available
Le Titanic,3.5,Belge,                1000 Bruxelles,30,Not Available
Foro Romano,4,Italien,                1000 Bruxelles,30,Not Available
La Cueva De Castilla,4,Espagnol,                1030 Schaerbeek ,50,Not Available
Via Roma,3.5,Italien,                1170 Watermael-Boitsfort ,30,Not Available
Manola,4,Asiatique,                1000 Bruxelles,14,Not Available
The Phénix,4.5,Français,                1030 Schaerbeek ,30,Not Available
North Express,3,Belge,                1030 Bruxelles,25,Not Available
Phenicien House,4,Libanais,                1150 Woluwe-Saint-Pierre ,28,Not Available
Le Jardin De F'Oli,Not available,Français,                1170 Watermael-Boitsfort ,25,Not Available
"La Nuova Piazza, Schaerbeek",3.5,Italien,                1030 Schaerbeek ,25,Not Available
Baraka't Restaurant,4,Italien,                1000 Bruxelles,18,Not Available
Les Rives Du Gange,3.5,Indien,                1170 Watermael-Boitsfort ,30,Not Available
"Le Faubourg Saint-antoine, Schaerbeek",4.5,Français,                1030 Schaerbeek ,30,Not Available
L'Avant-première,4,Belge,                1160 Auderghem ,28,Not Available
Citron Vert,4,Asiatique,                1000 Bruxelles,23,Not Available
Bouillon Bruxelles,4,Belge,                1000 Bruxelles,Not Available,Not Available
La Tricoterie,3.5,Français,                1060 Saint-Gilles ,Not Available,Not Available
Art Club,4.5,Français,                1000 Bruxelles,Not Available,Not Available
Le Basilic - Cabaret Resto,3.5,Français,                1081 Koekelberg ,Not Available,Not Available
Drina,3.5,Slave,                1170 Watermael-Boitsfort ,15,Not Available
Whitlock Cafe,4,Français,                1200 Woluwe-Saint-Lambert ,30,Not Available
Dolma,4,Européen,                1000 Bruxelles,Not Available,Not Available
Volle Gas,4,Belge,                1050 Ixelles ,25,Not Available
Rale-bol,3.5,Chinois,                1050 Bruxelles,22,Not Available
La Grainerie,4,Du Monde,                1050 Bruxelles,Not Available,Not Available
Le Marylin's,4.5,Français,                1000 Bruxelles,Not Available,Not Available
Aux Delices De Chine,4.5,Chinois,                1040 Bruxelles,15,Not Available
Chez Mauricette,4,Français,                1040 Bruxelles,12,Not Available
Egnatia,2.5,Grec,                1000 Bruxelles,18,Not Available
The Lodge,3.5,Belge,                1170 Watermael-Boitsfort ,35,Not Available
Kabuki,3.5,Japonais,                1000 Bruxelles,25,Not Available
Anata,3,Japonais,                1000 Bruxelles,15,Not Available
Habesha Village,4.5,Éthiopien,                1000 Bruxelles,35,Not Available
Le Monde Est Petit,4,Français,                1040 Etterbeek ,60,Not Available
Chez Valerio,4,Italien,                1050 Ixelles ,18.5,Not Available
Vamos,3.5,Espagnol,                1000 Bruxelles,15,Not Available
Manola 2,2.5,Asiatique,                1210 Saint-Josse-ten-Noode ,33,Not Available
La Maison du Cygne,3.5,Français,                1000 Bruxelles,39,Not Available
La Bocca,4,Italien,                1020 Laeken ,Not Available,Not Available
Sugito Prestige 'The Bali Kitchen',2,Indonésien,                1000 Bruxelles,16,Not Available
The Good Friend,1,Chinois,                1090 Jette ,15,Not Available
Houtsiplou,4,Belge,                1000 Bruxelles,16,Not Available
Wine In The City,4.5,Français,                1090 Jette ,67,Not Available
Kamo,4.5,Japonais,                1050 Ixelles ,Not Available,Not Available
La Villa Emily,4.5,Belge,                1000 Bruxelles,Not Available,Not Available
ECCETERA,4,Italien,                1040 Etterbeek ,Not Available,Not Available
la luna di venezia,3,Italien,                1000 Bruxelles,Not Available,Not Available
Da Mimmo,4.5,Italien,                1200 Woluwe-Saint-Lambert ,80,Not Available
Signora Ava,4,Méditerranéen,                1000 Bruxelles,26,Not Available
La Truffe Noire,4,Français,                1000 Bruxelles,Not Available,Not Available
Il Classico,3.5,Italien,                1050 Ixelles ,18,Not Available
Les Pecheries,3.5,Belge,               1170 Watermael-Boitsfort ,45,Not Available
San Daniele,4.5,Italien,                1083 Ganshoren ,100,Not Available
Royal Food,4.5,Du Monde,                1180 Uccle ,16,Not Available
"Chez Hassan, Uccle",4.5,Marocain,                1180 Uccle ,20,Not Available
Stirwen,4.5,Français,                1040 Etterbeek ,52,Not Available
King Pizza Kebab et Grill,3.5,Français,                1000 Bruxelles,7,Not Available
Les Menus Plaisirs,3.5,Français,                1180 Uccle ,Not Available,Not Available
Coin De Mer,3.5,Belge,                1000 Bruxelles,Not Available,Not Available
Le Saint Georges,3.5,Français,                1030 Schaerbeek ,36,Not Available
Nonbe Daigaku,4.5,Japonais,                1050 Ixelles ,24,Not Available
La Porte Des Indes,4.5,Indien,                1050 Ixelles ,33,Not Available
Samourai,4,Japonais,                1000 Bruxelles,Not Available,Not Available
Switch,4,Français,                1000 Bruxelles,Not Available,Not Available
Belle De Jour,5,Japonais,                1050 Ixelles ,15,Not Available
Maison Du Luxembourg,4,Belge,                1050 Ixelles ,Not Available,Not Available
JB,4.5,Belge,                1000 Bruxelles,50,Not Available
La Boutique Alimentaire,4.5,Belge,                1000 Bruxelles,Not Available,Not Available
Greedy Lunch,4.5,Français,                1000 Bruxelles,9,Not Available
La Nourrice Africaine,4,Africain,                1030 Schaerbeek ,9,Not Available
The Egg Brussels,4,Européen,                1000 Bruxelles,Not Available,Not Available
La Mezzanina,4.5,Français,                1180 Uccle ,Not Available,Not Available
La Homarderie,1.5,Belge,                1000 Bruxelles,69,Not Available
Ad Hoc,4,Français,                1200 Woluwe-Saint-Lambert ,15,Not Available
"Orient Kitchen, Evere",4.5,Chinois,                1140 Evere ,9,Not Available
Pizzeria Da Doto,4.5,Italien,                1180 Uccle ,16,Not Available
Vintage Hotel Et Wine Bar,4,Français,                1060 Saint-Gilles ,Not Available,Not Available
Belgobon,4,Belge,                1030 Schaerbeek ,Not Available,Not Available
Perles d'Asie,3.5,Asiatique,                1070 Anderlecht ,Not Available,Not Available
Sushi World,2.5,Japonais,                1000 Bruxelles,Not Available,Not Available
Ex - Porte,4,Méditerranéen,                1000 Bruxelles,Not Available,Not Available
Lamagno,Not available,Italien,                1200 Woluwe-Saint-Lambert ,Not Available,Not Available
Ici,4,Français,                1050 Ixelles ,Not Available,Not Available
La Brouette,3.5,Français,                1000 Bruxelles,35,Not Available
La Brouette,4.5,Français,                1070 Anderlecht ,47,Not Available
Scott's Cafe-bar,4,Français,                1000 Bruxelles,15,Not Available
Tarte et quiche,Not available,Belge,                1090 Jette ,9,Not Available
Taste Of Taj Mahal,4,Indien,                1050 Ixelles ,Not Available,Not Available
L'eau à la Babouche,4.5,Marocain,                1170 Watermael-Boitsfort ,Not Available,Not Available
Les P'Tits Os Du Pitta-grill,4.5,Grec,                1140 Evere ,17,Not Available
Callens Café,4,Belge,                1050 Bruxelles,36,Not Available
